SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex,alnum_len,svg_z_all_dec,svg_z_inter_dec,low_n_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,dec_total_correct,q1_accuracy,q2_accuracy,svg_z_inter_dec_z,svg_z_all_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z,alnum_len_centred,svg_z_inter_dec_centred,svg_z_all_dec_centred
Encode-Decode_Experiment-2-1,2408717,surfboard,fourwomenwerecarryingsurfboardsandtwoofthesurfboardsattefrmtweregretheyalllookedliketheywerelkingintothewater,51701,2,109.0,1.596354,,False,14,1.0,0.049776,2.0,1.0,1.0,,0.9707487971751164,0.30383030899386876,0.3463476661518187,-0.9989808142343145,20.631578947368425,,1.6623707272727273
Encode-Decode_Experiment-2-1,2362704,bears,twobrownbearswereeatingpmpkinsandbothpumpkinswereverrippedapart,37975,3,63.0,-0.398628,,False,9,1.0,0.277814,2.0,1.0,1.0,,-0.45053362042960854,-1.063406081478541,0.3463476661518187,0.7366522955772846,-25.368421052631575,,-0.33261127272727276
Encode-Decode_Experiment-2-1,2409918,elephant,thereweretwoelephantsinthewaterandtheybothhamenntheirbacksandtheelephantwhichwasfurtherbachmanontopwhowasnhisknees,66497,5,114.0,-0.392176,-0.287814,False,11,1.0,0.206659,1.0,0.0,1.0,-0.25609573408060343,-0.4459370305062981,-0.5165115252895772,0.3463476661518187,0.19508039120764303,25.631578947368425,-0.1997208888888889,-0.32615927272727274
Encode-Decode_Experiment-2-1,2356125,airport,threeairprtworkersohadveryseriouslooknguniformsonwerestandingnearaconvyorbeltandtwooutofthethreeworkerswereputtinluggageinotheconveyorbelt,58483,6,138.0,-0.005846,-0.435353,False,14,1.0,0.327246,2.0,1.0,1.0,-0.3270192637108603,-0.17070445377466173,0.30383030899386876,0.3463476661518187,1.112887027877195,49.631578947368425,-0.34725988888888887,0.06017072727272726
Encode-Decode_Experiment-2-1,2379478,baby-milk,twobabiesarelangdndrinkingmilkoutofbabybottles,23535,7,46.0,0.732867,1.934952,False,11,0.8182,0.596405,2.0,1.0,1.0,0.8124109676194738,0.3555758828679943,-0.5165115252895772,-2.3310313915709617,3.1614985408872207,-42.368421052631575,2.023045111111111,0.7988837272727273
Encode-Decode_Experiment-2-1,2348899,tie,therewerethrmenandonewomanndoneofthenwassatdownwithacolourfultieonwhichthewonatthefrontfthephotowastouching,54216,8,107.0,,,False,18,1.0,0.065708,1.0,1.0,0.0,,,1.3976194213717967,0.3463476661518187,-0.8777198546332026,18.631578947368425,,
Encode-Decode_Experiment-2-1,150472,pizza,twowomnwerenanoutsidelocatiotouchigapizzaslicewhichwasonawhitepaperplateandtheylookedliketheyweregoingtoeatit,58069,9,109.0,-0.34441,-0.2492,False,12,1.0,0.03711,1.0,0.0,1.0,-0.23753358323816348,-0.41190716158552226,-0.2430642471950952,0.3463476661518187,-1.0953837337866423,20.631578947368425,-0.16110688888888888,-0.27839327272727277
Encode-Decode_Experiment-2-1,2385550,tangerines,twoyougchildrnaboyandagirlhadhalfofatangerineeachinthermouthscoveringtheirsmiles,38166,11,80.0,,,False,7,1.0,0.37201,1.0,1.0,0.0,,,-1.610300637667505,0.3463476661518187,1.4535928774619415,-8.368421052631575,,
Encode-Decode_Experiment-2-1,2347400,wine,twomensittingnexttoeachotheronacouchhadwineglassesinhandmellingtheredwine,24559,12,73.0,,,False,13,1.0,0.068132,2.0,1.0,1.0,,,0.03038303089938678,0.3463476661518187,-0.8592704091101612,-15.368421052631575,,
Encode-Decode_Experiment-2-1,2374670,spray-vehicle,amanwasridigonthebackfasprayvehicleasitwassprayingwateronthefloor,33996,14,65.0,-0.48939,-0.429079,False,6,1.0,0.177617,2.0,1.0,1.0,-0.32400328674951295,-0.5151950734084525,-1.8837479157619872,0.3463476661518187,-0.02596284182873023,-23.368421052631575,-0.34098588888888887,-0.42337327272727276
Encode-Decode_Experiment-2-1,2371471,motorcycle,twoinmidanmotorcyclesandtheoneinfrontwasdoingatrickashewasgettingclosetotheramp,39099,15,79.0,,,False,15,1.0,0.447701,1.0,0.0,1.0,,,0.5772775870883508,0.3463476661518187,2.0296889917707404,-9.368421052631575,,
Encode-Decode_Experiment-2-1,2397102,cake,amanandawomanwhowaswearingapurpledresswerecuttingintoacaketogether,23446,16,66.0,,,False,15,1.0,0.095861,1.0,1.0,0.0,,,0.5772775870883508,0.3463476661518187,-0.648220625732102,-22.368421052631575,,
Encode-Decode_Experiment-2-1,2349475,blender,amanwhowaspossiblypoweringtheblenderthroughridingabikewasnexttoawomanwhowassmilingwhilstholdigontotheblender,41115,17,108.0,,,False,6,1.0,0.07673,1.0,0.0,1.0,,,-1.8837479157619872,0.3463476661518187,-0.7938296778366009,19.631578947368425,,
Encode-Decode_Experiment-2-1,2410309,laptop,amotherhowasworkngonthecouchnherlaptopwassatnexttoababywhowastouchingthemouseorkeyboardofadifferenlaptop,47620,18,104.0,-0.734162,-0.734635,False,12,1.0,0.120361,1.0,1.0,0.0,-0.47088722943383904,-0.6895776693025225,-0.2430642471950952,0.3463476661518187,-0.46174726957924955,15.631578947368425,-0.646541888888889,-0.6681452727272728
Encode-Decode_Experiment-2-1,2356991,baseball,twoyougadultsweregettingclosetothenextbasndnewasonthefloorgoingheadfirstintothebasewhilsteotheronewasonhisfeettryingtocatchtheball,57914,19,130.0,,,False,12,1.0,0.09928,2.0,1.0,1.0,,,-0.2430642471950952,0.3463476661518187,-0.6221980786020367,41.631578947368425,,
Encode-Decode_Experiment-2-1,2360001,clock,threemenweretryingtliftamassiveclokuptosomewhere,20156,20,48.0,0.969311,0.982195,False,9,1.0,0.314649,2.0,1.0,1.0,0.3544107824485379,0.5240253726118274,-1.063406081478541,0.3463476661518187,1.017009278185053,-40.368421052631575,1.070288111111111,1.0353277272727273
Encode-Decode_Experiment-2-1,2385851,suitcase,twomenwerewalkingsmewhereuphillandbothcarryngredsuitcasesntheirbacks,30880,22,68.0,-0.855739,-0.82903,False,15,1.0,0.266301,1.0,1.0,0.0,-0.516263886314041,-0.7761926124374128,0.5772775870883508,0.3463476661518187,0.649025040500232,-20.368421052631575,-0.740936888888889,-0.7897222727272728
Encode-Decode_Experiment-2-1,2412687,dog,amanandadogwereataparkandtemnwasholdingaredfrisbeloetothedogsmouthwholookedlikwasreadyobiteontothefrisbee,49099,23,105.0,-0.804365,-0.744874,False,16,1.0,0.233544,1.0,1.0,0.0,-0.4758092230754132,-0.7395923007944881,0.8507248651828327,0.3463476661518187,0.39970635774517116,16.631578947368425,-0.6567808888888889,-0.7383482727272728
Encode-Decode_Experiment-2-1,2345035,football,twoyounggirlswhthenumbers20and3onthebackwererunningclosetoafootball,25284,25,67.0,,,False,6,1.0,0.232226,1.0,0.0,1.0,,,-1.8837479157619872,0.3463476661518187,0.38967485229988696,-21.368421052631575,,
Encode-Decode_Experiment-9-1,2411268,apple,a{SPACE}blonde{SPACE}girl{SPACE}reaching{SPACE}for{SPACE}a{SPACE}green{SPACE}apple{SPACE}at{SPACE}head{SPACE}height{.}{SPACE}{CAPSLOCK}S{CAPSLOCK}he{SPACE}is{SPACE}carrying{SPACE}a{SPACE}red{SPACE}bag{SPACE}and{SPACE}is{SPACE}surrounded{SPACE}by{SPACE}trees{SPACE}{ENTER},53936,1,218.0,-1.08704,0.016638,False,10,1.0,0.1188,1.0,1.0,0.0,-0.10974249566234798,-0.9409780814162759,-0.7899588033840592,0.3463476661518187,-0.4736282862712741,-126.9230769230769,-0.4780599166666668,-1.5147784117647058
Encode-Decode_Experiment-9-1,2412687,dog,{CAPSLOCK}A{SPACE}{CAPSLOCK}brown{SPACE}dog{SPACE}is{SPACE}about{SPACE}to{SPACE}bite{SPACE}a{SPACE}red{SPACE}frisbee{.}{SPACE}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}T{CAPSLOCK}he{SPACE}owner{SPACE}who{SPACE}is{SPACE}white{SPACE}with{SPACE}brown{SPACE}hair{SPACE}is{SPACE}giving{SPACE}it{SPACE}to{SPACE}him{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}in{SPACE}a{SPACE}garden{SPACE}at{SPACE}night{.}{ENTER},53880,2,309.0,1.195935,,False,15,1.0,0.022659,2.0,1.0,1.0,,0.6854788125963751,0.5772775870883508,0.3463476661518187,-1.2053725692872492,-35.923076923076906,,0.7681965882352941
Encode-Decode_Experiment-9-1,2387122,polar bear,a{SPACE}polar{SPACE}bear{SPACE}is{SPACE}putting{SPACE}its{SPACE}paw{SPACE}on{SPACE}a{SPACE}glass{SPACE}barrier{.}{SPACE}a{SPACE}blonde{SPACE}woman{SPACE}is{SPACE}holding{SPACE}a{SPACE}camera{SPACE}and{SPACE}taking{SPACE}a{SPACE}photo{SPACE}of{SPACE}the{SPACE}polar{SPACE}bear{.}{SPACE}{CAPSLOCK}{CAPSLOCK}behind{SPACE}the{SPACE}bear{SPACE}is{SPACE}rocks{SPACE}and{SPACE}some{SPACE}green{SPACE}patch{.}{ENTER},69611,3,325.0,0.031662,,False,16,0.875,0.161063,2.0,1.0,1.0,,-0.14398267838043863,0.8507248651828327,-1.4945345242516337,-0.15195794132890647,-19.923076923076906,,-0.39607641176470587
Encode-Decode_Experiment-9-1,2347400,wine,2{SPACE}men{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}couch{SPACE}smelling{SPACE}wine{SPACE}near{SPACE}their{SPACE}noses{.}{SPACE}the{SPACE}couch{SPACE}is{SPACE}white{SPACE}and{SPACE}they{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}both{SPACE}men{SPACE}are{SPACE}white{SPACE}and{SPACE}young{SPACE}and{SPACE}have{SPACE}brown{SPACE}hair{.}{SPACE}the{SPACE}man{SPACE}on{SPACE}the{SPACE}left{SPACE}is{SPACE}wearing{SPACE}a{SPACE}blue{SPACE}shirt{.}{SPACE}the{SPACE}wine{SPACE}is{SPACE}red{.}{SPACE}its{SPACE}night{SPACE}time{.}{ENTER},60290,4,429.0,-0.942034,-0.612701,False,12,1.0,0.110346,2.0,1.0,1.0,-0.41227228923541187,-0.8376716464473436,-0.2430642471950952,0.3463476661518187,-0.5379730108800993,84.0769230769231,-1.107398916666667,-1.3697724117647059
Encode-Decode_Experiment-9-1,2367132,video game,3{SPACE}people{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}one{SPACE}is{SPACE}a{SPACE}young{SPACE}girl{SPACE}who{SPACE}is{SPACE}lying{SPACE}on{SPACE}a{SPACE}sofa{.}{SPACE}the{SPACE}other{SPACE}two{SPACE}are{SPACE}both{SPACE}men{SPACE}playing{SPACE}a{SPACE}video{SPACE}game{.}{SPACE}the{SPACE}controllers{SPACE}are{SPACE}white{SPACE}and{SPACE}in{SPACE}both{SPACE}hands{SPACE}of{SPACE}both{SPACE}men{.}{SPACE}they{SPACE}are{SPACE}pulling{SPACE}karate{SPACE}poses{.}{ENTER},58444,5,383.0,1.202613,1.1704,False,15,1.0,0.114203,2.0,1.0,1.0,0.44488288063317055,0.690236411404166,0.5772775870883508,0.3463476661518187,-0.5086167768114644,38.076923076923094,0.6757020833333334,0.7748745882352941
Encode-Decode_Experiment-9-1,2410309,laptop,a{SPACE}woman{SPACE}and{SPACE}a{SPACE}child{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}sofa{SPACE}both{SPACE}with{SPACE}laptops{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}its{SPACE}hand{SPACE}on{SPACE}the{SPACE}touch{SPACE}pad{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}sat{SPACE}towards{SPACE}the{SPACE}camera{SPACE}also{SPACE}on{SPACE}a{SPACE}laoptop{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}blonde{SPACE}hair{.}{SPACE}the{SPACE}wall{SPACE}behind{SPACE}them{SPACE}is{SPACE}white{.}{ENTER},82761,6,382.0,0.203117,0.838925,False,18,1.0,0.133499,2.0,1.0,1.0,0.2855394054558315,-0.021833216926441495,1.3976194213717967,0.3463476661518187,-0.36175188373695655,37.076923076923094,0.34422708333333324,-0.2246214117647059
Encode-Decode_Experiment-9-1,2394020,horse ride,two{SPACE}men{SPACE}on{SPACE}two{SPACE}seperate{SPACE}horses{SPACE}are{SPACE}riding{SPACE}on{SPACE}a{SPACE}beach{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}wearing{SPACE}shirts{SPACE}and{SPACE}cowboy{SPACE}hats{SPACE}and{SPACE}the{SPACE}sun{SPACE}appears{SPACE}to{SPACE}be{SPACE}starting{SPACE}to{SPACE}set{.}{SPACE}the{SPACE}sea{SPACE}is{SPACE}coming{SPACE}in{SPACE}towards{SPACE}them{.}{SPACE}one{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}brown{SPACE}with{SPACE}white{SPACE}patches{SPACE}and{SPACE}the{SPACE}other{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}white{SPACE}with{SPACE}brown{SPACE}patches{.}{ENTER},73921,7,486.0,0.907494,-2.01876,False,18,1.0,0.315087,2.0,1.0,1.0,-1.088179453770819,0.47998516813425746,1.3976194213717967,0.3463476661518187,1.0203429651236222,141.0769230769231,-2.513457916666667,0.47975558823529413
